id,price
100000,7221772.96803687
100001,3750258.3776148697
100002,3257957.1255906713
100003,2516582.3057627347
100004,6155157.582916413
100005,4348112.549585083
100006,1828016.3954009926
100007,911980.4698292187
100008,2723609.368701324
100009,1647220.374388605
100010,5345859.785771553
100011,4135509.471455579
100012,7438555.628696988
100013,1808988.0940466044
100014,3387409.0434029656
100015,4955005.818267737
100016,7869997.320758875
100017,2827357.489556845
100018,4361487.766696239
100019,7375318.4292813735
100020,4921298.087575589
100021,3557010.325939603
100022,5533312.262608449
100023,13773150.70730115
100024,3667118.6980073513
100025,3338619.3083957774
100026,3879856.4401292833
100027,4067043.4890211634
100028,4680834.135000785
100029,2675173.8245948977
100030,2210011.225355992
100031,7474526.55155773
100032,2984195.4484839994
100033,3499294.804898727
100034,3313016.0476511824
100035,3442873.19596866
100036,3057067.942988303
100037,3263910.6957819904
100038,6149553.824321645
100039,3716717.698484132
100040,10022625.998425595
100041,3184693.6306330943
100042,4791765.63310777
100043,3760411.5400189883
100044,1972959.556020322
100045,3307169.0100695165
100046,2177006.2515218244
100047,3021266.1531573907
100048,10662287.407485165
100049,2854673.075379373
100050,1536090.3197595717
100051,3312165.4143204014
100052,9882093.987784812
100053,6286672.843392023
100054,2821792.9365480165
100055,9802447.297078215
100056,4270040.054557335
100057,3039118.5619441182
100058,7131167.70248752
100059,5465971.043492849
100060,4139486.3062467314
100061,11502305.532247242
100062,4235053.785848076
100063,3256047.48428337
100064,1765020.6715211957
100065,1327785.040618642
100066,4240413.760543442
100067,5349290.313977341
100068,2124030.359636765
100069,2813476.747535087
100070,8812086.078854747
100071,7242510.8915305175
100072,2848600.7478329735
100073,3386027.903989821
100074,1312639.4274624067
100075,3556747.19455988
100076,7274116.874755764
100077,2261945.9668970355
100078,4455604.173817471
100079,1313841.0572894558
100080,3509639.4516301583
100081,1363617.3130042732
100082,6487335.471369454
100083,6105343.112560883
100084,3961753.580529334
100085,4121432.419235588
100086,3757136.029081465
100087,2622336.8213943657
100088,8002807.226438899
100089,3489024.309180869
100090,4241020.203100308
100091,6970028.006909483
100092,3615042.567419089
100093,9699560.34015391
100094,11073930.264365226
100095,3082440.05945213
100096,6375805.930676932
100097,4977184.040212566
100098,7300624.852971244
100099,8859808.662072489
100100,2345105.744114894
100101,2498011.6841948186
100102,3435798.3739912244
100103,7700500.349477068
100104,8095687.253851344
100105,2213238.675720849
100106,6320744.251572695
100107,2720873.3710712655
100108,7638288.132726973
100109,3612771.6253676554
100110,2124965.2668383075
100111,3532874.3498474755
100112,3589651.5247116066
100113,2221068.681762727
100114,4403165.824957528
100115,1940947.1157836614
100116,3265471.195689891
100117,5618311.613579202
100118,3399361.555930439
100119,11242197.31847688
100120,2575858.4452560083
100121,1599971.7405151709
100122,23866670.60485742
100123,1546493.9867159694
100124,9355251.5518957
100125,2818347.11391004
100126,10351903.092345025
100127,4659152.863484341
100128,3807160.9130341215
100129,1504281.5802909876
100130,11393588.570827737
100131,7648957.084091328
100132,15725911.095326833
100133,3394344.2514021667
100134,6668046.978897052
100135,4467921.92169002
100136,5616697.384884317
100137,5125175.697798096
100138,2554782.8795869676
100139,2219728.5029933364
100140,10433880.052789746
100141,18247088.76232615
100142,2198497.2371519017
100143,4438351.985029662
100144,2262119.252525982
100145,2598130.8924536947
100146,3042600.8158484437
100147,1839475.140431329
100148,8041140.682024057
100149,8570143.431159731
100150,4623528.808247654
100151,3432700.242939481
100152,1737880.8803880862
100153,6720448.822565115
100154,2901869.341823919
